;meta[fps=30]
;meta[frames=32]
;meta[profile=default]
jaw_open_a;0;0;0;0;0;0;-0.008950858;0.0017097152;0.038192004;0.07371277;0.084441155;0.07913144;0.05517791;0.04239086;0.04594743;0.035678472;0.038422856;0.060265142;0.053993158;0.056315433;0.10141715;0.15759085;0.21607576;0.21541488;0.14375316;0.07396311;0.054508414;0.06596572;0.07386123;0.049175512;0.02411755;0.0062497947;-0.0013779604;-0.0021551016;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0;0;0;0;-0.008525714;0.0015885702;0.036411427;0.066857144;0.088004574;0.08831315;0.054432005;0.024726858;0.011232002;-0.0010811428;-0.0029668575;-0.0052967626;0.004156953;0.012064;0.036120385;0.054931812;0.08658286;0.10459581;0.13564953;0.15320686;0.13852344;0.08880457;0.04400457;0.0011428552;-0.011062856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_front;0;0;0;0;0;0;-0.0011099931;0.009651429;0.035909455;0.063526995;0.08097247;0.10004549;0.12461286;0.15067874;0.18469337;0.20204735;0.1949432;0.16963115;0.15377684;0.12057246;0.09248509;0.057533562;0.022686576;0.003630455;0.041436873;0.105460055;0.17654581;0.21836917;0.2079307;0.1504548;0.08423351;0.03309633;0.0069541945;-0.00087924255;0;0;0;0;0;0;0;0;0;0
jaw_back;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0002942169;0.0029421693;0.0058843386;0.007355423;0.0058843386;0.0029421693;-0.0002942169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_left;0;0;0;0;0;0;-0.0011458555;0.009962821;0.03706537;0.06665206;0.07649242;0.061600674;0.029993426;0.0065952297;-0.0008090965;-0.001428675;0.013260436;0.038836632;0.054363333;0.06954651;0.10434363;0.1529721;0.19613081;0.1900164;0.12733708;0.054660738;0.011705066;-0.0014599524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0;0;0;0;-0.002348964;0.020422628;0.073632784;0.15497708;0.25370482;0.31597653;0.31498572;0.31959647;0.35700586;0.40627176;0.45402363;0.43927822;0.3943788;0.356395;0.38923407;0.37162244;0.3072393;0.18215567;0.07212545;-0.007570122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0;0;0;0;-0.0025048195;0.02177523;0.078980856;0.16150464;0.25640506;0.31201333;0.30177417;0.2902316;0.3059491;0.3335635;0.3804567;0.38800472;0.37213197;0.35198283;0.3732237;0.33855325;0.26933122;0.15484126;0.059315242;-0.0062731816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0018813978;0.015340628;0.069467;0.14398594;0.19695675;0.1898542;0.12725599;0.054683;0.011711427;-0.0014605885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0019526458;0.015908387;0.07222342;0.1497615;0.20489424;0.19751339;0.13239476;0.056853842;0.01217454;-0.0015184776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_out;0;0;0;0;-0.006785278;0.058991283;0.21957248;0.38886818;0.50400925;0.49981174;0.39299318;0.34030387;0.3888705;0.4529935;0.4785584;0.38834244;0.27996168;0.23525453;0.22443333;0.2008012;0.15314505;0.084689625;0.090977654;0.13025221;0.18389131;0.26082727;0.3468124;0.38817388;0.36805314;0.266508;0.1491934;0.05856029;0.012242598;-0.0015506021;0;0;0;0;0;0;0;0;0;0
