;meta[fps=30]
;meta[frames=35]
;meta[profile=grlt]
jaw_open_a;0;0;0;0;0;0;0;-0.0021485714;0.00043428582;0.009097142;0.018182857;0.0208;0.016948571;0.0066285715;-0.00049142825;-0.0015314287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0;0;0;0;0;-0.013348572;0.010483812;0.05435428;0.075337134;0.07343238;0.035247996;-0.013096002;0.045996957;0.17867202;0.291696;0.3288918;0.27571124;0.166224;0.105846085;0.10067925;0.09464914;0.10321981;0.124129534;0.106194295;0.08254172;0.05108114;0.0011428552;-0.011062856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_chew;0;0;0;0;0;0;0;0;0;0;-0.0009418123;0.0070201755;0.04030088;0.09493936;0.14535801;0.16308047;0.13294485;0.08132386;0.04488875;0.03407891;0.036367353;0.03585948;0.024015736;0.010296002;0.0022023334;-0.00027481458;-0.00041826512;0.0031234703;0.01784545;0.042003043;0.0642363;0.07203544;0.05885452;0.03463649;0.014028581;0.0030471333;-0.0003800965;0;0;0;0;0;0;0;0;0;0
jaw_front;0;0;0;0;0;-0.0026718078;0.024809644;0.0725205;0.10496388;0.10114701;0.064886756;0.01641253;-0.0019084339;0;0;0;-0.0017862943;0.014556579;0.06603564;0.13693205;0.18737483;0.1806619;0.121135935;0.05205731;0.011158616;-0.0013912488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_back;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0032138936;0.022182364;0.15203516;0.38703674;0.6478744;0.80129665;0.76282245;0.5516876;0.3088062;0.12125325;0.02538875;-0.003213893;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_up;0.21232943;0.28515393;0.35102123;0.3393657;0.27738357;0.19678874;0.12396424;0.072824486;0.036412243;0.010842353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_left;0;0;0;0;0;0;0;0;0;0;-0.0013052896;0.009740967;0.055743374;0.13131657;0.20106466;0.22561467;0.18444099;0.10857002;0.043942887;0.009484921;-0.001185615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0;0;0;0;0;0;0;-0.007670314;0.0666783;0.24828887;0.44591355;0.511345;0.4113471;0.19989575;0.043633956;-0.008286315;0.027115138;0.07930073;0.11479496;0.11063881;0.07098844;0.017495777;0.0011874178;0.022570731;0.057595424;0.09651602;0.117346965;0.1280002;0.18185967;0.2912846;0.40230048;0.44083676;0.36114305;0.21254231;0.086026646;0.018591335;-0.0023229888;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0;0;0;0;0;0;0;-0.0044864104;0.038997263;0.14525169;0.26094654;0.29929814;0.24082448;0.11708083;0.025582558;-0.006262049;0.028944585;0.08460725;0.122457854;0.11800484;0.075701214;0.018715851;0.0007404724;0.020578166;0.052492436;0.08798247;0.10672785;0.11922857;0.1799024;0.29865822;0.41735238;0.4585733;0.37555593;0.22094364;0.08939052;0.019296395;-0.002412049;0;0;0;0;0;0;0;0;0;0
corner_right_out;0;0;0;0;0;0;0;-0.0022933017;0.019932797;0.07425677;0.13345122;0.15310015;0.12322321;0.05993755;0.013114123;-0.0100498935;0.07835077;0.22910751;0.33163813;0.31961498;0.20233747;0.07719297;0.06402176;0.14103568;0.22220375;0.2928947;0.3156687;0.29573306;0.21429425;0.11979877;0.046936344;0.009780881;-0.001240323;0;0;0;0;0;0;0;0;0;0;0;0;0;0
