;meta[fps=30]
;meta[frames=36]
;meta[profile=grlt]
jaw_open_a;-0.026880004;0.021120006;0.10345143;0.15284574;0.17135999;0.15158859;0.06576;0.034834288;0.02425143;0.00144;-0.0061714286;0;0;0;0;0;0;-0.010712382;-0.0111466665;0.044388574;0.14258286;0.2324876;0.27056003;0.21298286;0.10796191;0.02976;-0.0048076157;-0.009737144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0.019483432;0.062240005;0.11116344;0.11930971;0.08667885;0.030550852;0.010849521;0.034489907;0.08866286;0.12586668;0.11868191;0.06710857;0.027306665;-0.00088381197;0.012507428;0.052278858;0.075392;0.07108877;0.043056767;0.021650288;0.023311242;0.03578558;0.040346127;0.044867482;0.05979211;0.08618449;0.107230484;0.10086314;0.06549007;0.053485718;0.07047945;0.09860789;0.11372081;0.09205333;0.046598095;0.0128000025;-0.0021485693;-0.0041752392;0;0;0;0;0;0;0;0;0;0
jaw_chew;0.12305344;0.22104439;0.25351158;0.20397583;0.09915745;0.020971306;0.00442041;0.013556242;0.023415688;0.030805303;0.031147232;0.022463063;0.0148539785;0.0037437114;-0.0004357591;0;0;0;0;0;0;0;0;0;0;0;0;-0.00024332535;0.0018193739;0.010361208;0.024365932;0.03723196;0.041739047;0.034092586;0.020068774;0.008134701;0.0017748441;-0.00022106033;0;0;0;0;0;0;0;0;0;0
jaw_front;0;0;-0.0024082055;0.020925978;0.07803945;0.13661431;0.19643511;0.19757421;0.18067387;0.16884871;0.15532865;0.113397;0.07504916;0.01900323;-0.0022090124;0;0;-0.00049142184;0.0036641937;0.021011857;0.049562037;0.075891264;0.085140005;0.06957197;0.040914442;0.016527042;0.0035687727;-0.0016555667;0.009007809;0.05181637;0.12218511;0.18719114;0.21005896;0.17171851;0.101006255;0.040842872;0.008788341;-0.0010997351;0;0;0;0;0;0;0;0;0;0
jaw_back;0;0;0;0;0;0;0;0;0;-0.008851953;0.076947264;0.28655574;0.51480407;0.5904655;0.47511455;0.23099048;0.050487623;-0.006205989;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_up;0;0;0;0;0;0;0;0;0.012197647;0.039303534;0.087145425;0.14989555;0.2455793;0.34668428;0.4472471;0.4724556;0.42895064;0.32472852;0.22362354;0.13525838;0.076167546;0.031984948;0.008538354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_left;-0.003412121;0.03168875;0.092567;0.13395217;0.12905386;0.08277036;0.020912457;-0.0024324576;0;0;0;0;0;0;0;0;0;-0.0016725307;0.012457835;0.07164845;0.16888846;0.2585822;0.29006872;0.23704076;0.13939519;0.05638098;0.012171572;-0.0015214464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0;0;0;0;0;0;-0.002920434;0.027115138;0.07930073;0.11347242;0.12213761;0.11378134;0.09481392;0.08601922;0.07087248;0.034435146;0.007518912;-0.0009245568;0;0;0;-0.0008460724;0.005822314;0.040177304;0.10241134;0.17156504;0.21233395;0.20218746;0.14619559;0.081781164;0.03205373;0.0066683837;-0.0008460721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0;0;0;0;0;0;-0.0031171094;0.028944585;0.08460725;0.12125164;0.12849335;0.11471323;0.08925507;0.07819769;0.06473429;0.03149004;0.0069066235;-0.0008480207;0;0;0;-0.00090650615;0.006250121;0.042939764;0.10938191;0.18316197;0.22657886;0.21570078;0.15596676;0.08726314;0.034237303;0.0071566254;-0.000906506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_spread;0.06906734;0.14366421;0.2078889;0.21307108;0.15550475;0.07997609;0.020985931;-0.0024391373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
