;meta[fps=30]
;meta[frames=61]
;meta[profile=yenn]
jaw_open_a;0;0;0;0;-0.004297143;0.00086857163;0.018262856;0.015814856;0.057762284;0.09158857;0.13233145;0.216288;0.2812297;0.24155657;0.18138742;0.06961188;-0.0086944;0.009991315;0.067418516;0.092233144;0.10582949;0.09205898;0.060948115;0.03729783;0.018422859;-0.0014742861;-0.012365715;0.0015542848;0.03472;0.06147048;0.08401524;0.09104763;0.06901792;0.048161525;0.057100188;0.092976764;0.14359467;0.110640764;0.14871775;0.21877259;0.23012573;0.2125097;0.14899199;-0.0039291503;-0.027890282;0.02921143;0.058080003;0.05647543;0.047328003;0.066008694;0.11599911;0.15878952;0.15545326;0.0933504;0.021632914;-0.0076534906;-0.0060141706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0;0;0;0;0;0;0;-0.007776;-0.002064001;0.030672004;0.08045486;0.11861715;0.10606172;0.11066287;0.11369828;0.17368045;0.1958496;0.17646444;0.10608731;0.066275656;0.020954521;0.019312462;0.010137144;0.029466817;0.06675795;0.102320015;0.13857906;0.13996571;0.12713145;0.101619065;0.044220954;0.035611436;0.07838172;0.09869868;0.10621258;0.092595816;0.076486096;0.09551543;0.15701182;0.19601372;0.19045943;0.15597865;0.12502171;0.068544;0.08914059;0.18820572;0.25676572;0.28916878;0.238608;0.14299886;0.08344306;0.1099642;0.1284082;0.13785255;0.11496438;0.09433798;0.08007152;0.07928272;0.056189388;0.02744163;0.007131426;-0.0015020424;-0.002481632;0;0;0;0;0;0;0;0;0;0
jaw_chew;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.00061387965;0.005703037;0.016635183;0.024062173;0.02317157;0.0148539785;0.0037437114;-0.0004357591;0;0;0;0;0;0;0;0;0;0;0;0;-0.0016054702;0.013950653;0.052026298;0.09345363;0.10718243;0.086225435;0.041906826;0.009131857;-0.0011235906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_front;0;0;0;0;-0.0019466028;0.016925426;0.062971175;0.110020265;0.1588664;0.18775412;0.181306;0.16077363;0.13208987;0.085866645;0.051871233;0.02545784;0.012250714;0.028863395;0.059467994;0.09848378;0.14633945;0.17874207;0.17157443;0.12502319;0.09152014;0.097525746;0.11865807;0.12573718;0.10769412;0.07461499;0.09285486;0.13554057;0.14349563;0.124563;0.10519121;0.10311268;0.17828114;0.28011516;0.30597255;0.24548854;0.13698454;0.035415765;-0.004117446;0;0;-0.0057587;0.053469554;0.15484957;0.2380304;0.2782891;0.2674607;0.20740958;0.15844536;0.105186395;0.040589526;0.0066473586;-0.00091948325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_back;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_right;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_left;0;0;0;0;0;0;0;-0.0011188195;0.010403352;0.029322295;0.05152374;0.07110508;0.079148315;0.066646494;0.047422998;0.022607787;0.011852966;0.029758368;0.063086785;0.08640277;0.083376296;0.05596324;0.024089212;0.0051642237;-0.00064377853;0;-0.0010416869;0.00905711;0.03369579;0.06059278;0.06953857;0.056000613;0.026519284;0.0120962905;0.026879499;0.05623201;0.077673264;0.07557399;0.051670857;0.023117501;0.00579528;-0.00068703643;0;-0.00044530127;0.0038645794;0.014472292;0.026081933;0.029439503;0.028389547;0.033377558;0.048381034;0.061418176;0.058342416;0.037720513;0.014537495;0.0023336955;-0.0003253879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0;0;0;0;-0.005115398;0.0444689;0.1655797;0.29533213;0.36004725;0.32950625;0.21297924;0.10566999;0.045398463;0.01221517;-0.0014260772;-0.002890005;0.023536395;0.10697918;0.22184707;0.3035485;0.29262528;0.19381627;0.10464915;0.09405209;0.13428974;0.1566069;0.12236879;0.0930123;0.1316366;0.2107611;0.24039218;0.22615366;0.18078488;0.16980748;0.2177805;0.27367473;0.28826204;0.2806066;0.22050576;0.13108853;0.061212588;0.014023276;0.018518966;0.07600179;0.1365405;0.1539425;0.15076046;0.13261077;0.12581913;0.13873166;0.14835584;0.12909469;0.10458568;0.0688507;0.026561106;0.0043301084;-0.0006000434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0;0;0;0;-0.0041746995;0.036292054;0.13512109;0.24073711;0.29646653;0.27662116;0.18497536;0.097000524;0.043951236;0.011724226;-0.0013676314;-0.0027699966;0.022568982;0.10244334;0.2123811;0.29053125;0.28003663;0.18518391;0.10236476;0.09833431;0.1434607;0.16698799;0.13084622;0.09567854;0.12742853;0.201471;0.22835605;0.23086087;0.21546794;0.22410789;0.2678387;0.30038542;0.28235808;0.25822648;0.19767071;0.1126063;0.050340567;0.011095421;0.02019441;0.08107266;0.14561352;0.16478004;0.15484054;0.124319054;0.108435676;0.11958685;0.1335311;0.12122845;0.10012043;0.06576232;0.02536102;0.004107235;-0.0005706534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
