;meta[fps=30]
;meta[frames=39]
;meta[profile=yenn]
jaw_open_a;0;0;0;0;0;0;0;0;-0.005881905;0.0046476196;0.023908572;0.033112384;0.029150477;0.020342859;0.013455237;0.0117790485;0.072022855;0.095497146;0.086377144;0.05865143;0.016956445;-0.03266235;0.02251124;0.11039951;0.22752614;0.33693108;0.37907612;0.3468262;0.26387966;0.17235659;0.10083558;0.054224774;0.036409907;0.046993785;0.051894862;0.053787436;0.045909338;0.023314288;0.0064457157;-0.0009980943;-0.0021180958;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0;0;0;0;-0.006162285;-0.0021851447;0.02612114;0.057773717;0.10552686;0.11383772;0.082706295;0.03986286;0.009005715;-0.012342857;0;-0.009417143;0.014125715;0.02825143;0.018377142;0.031062858;0.07627429;0.10835912;0.14145371;0.13554439;0.09432686;0.07475811;0.082716964;0.08366984;0.065136775;0.040932577;0.019214734;0.0054308604;-0.0017264767;-0.0016650164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_chew;0;0;0;0;0;0;0;-0.00064409646;0.0064409645;0.012881929;0.01610241;0.012881929;0.0064409645;-0.00064409646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_front;0;0;0;0;0;0;0;-0.0032419523;0.03241952;0.06483904;0.08104881;0.06483904;0.031019686;0.008165712;0.051745277;0.10548152;0.16506045;0.17802826;0.13586429;0.117504664;0.17680377;0.26527533;0.3170527;0.2801122;0.18600632;0.12250063;0.107379384;0.10178664;0.090793595;0.10120776;0.12988833;0.15292583;0.14087996;0.09494269;0.040807094;0.008748263;-0.0010906702;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_back;0;0;0;0;0;0;0;0;0;0;-0.010024579;0.09308916;0.27205786;0.39374703;0.37940726;0.24337834;0.061541688;-0.0071566273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_up;0;0;0.004729977;0.009459954;0.018919908;0.028379861;0.047299773;0.056759723;0.074246414;0.06766984;0.071427405;0.0700416;0.087016664;0.10603144;0.1290545;0.13199888;0.119377695;0.0906353;0.062160566;0.037704285;0.021159532;0.008931388;0.0023073885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0010496387;0.010496387;0.020992775;0.026240967;0.020992775;0.010239808;0.0006472772;0.012589832;0.03478386;0.06336902;0.08819881;0.098211184;0.09159263;0.07329393;0.049333017;0.026660826;0.010613016;0.0019301695;-0.00025657844;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0;0;0;0;-0.0016899182;0.013770941;0.062475763;0.12954703;0.17726329;0.17090662;0.113097616;0.06309178;0.04735408;0.087302804;0.19272713;0.31869245;0.39555737;0.3713627;0.24746503;0.12575309;0.09215399;0.12143143;0.14255208;0.1146929;0.055751715;0.012178988;-0.0014973255;-0.0036848679;0.030024435;0.13626665;0.28247464;0.38639903;0.3724277;0.24960247;0.107172884;0.022959737;-0.0028632875;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0;0;0;0;-0.0018034701;0.01469494;0.06668832;0.13826606;0.18916398;0.18235089;0.12087333;0.06514387;0.04523964;0.0766549;0.1627836;0.26358125;0.32367095;0.3029422;0.20194969;0.10293697;0.07623002;0.100888565;0.11836665;0.09521098;0.046261236;0.010091641;-0.0012412774;-0.0030057833;0.024491569;0.111147195;0.23044342;0.31527328;0.3039181;0.20372534;0.087501705;0.018747188;-0.0023378322;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0016364823;0.01636482;0.03272964;0.04091206;0.03272964;0.01636482;-0.0016364823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0017478076;0.017478077;0.034956153;0.043695193;0.034956153;0.017478077;-0.0017478076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
