;meta[fps=30]
;meta[frames=67]
;meta[profile=yenn]
jaw_open_a;0;0;0;0;0;-0.005881905;-0.009310477;0.031862862;0.09446096;0.120060965;0.10866286;0.060266666;0.0013409498;-0.0129828565;0;0;-0.0053028576;0.004114286;0.021668572;0.0030628585;0.03458286;0.13456;0.2292457;0.25744003;0.21256;0.08262858;-0.009085712;-0.018468574;0.009097142;0.015074286;0.019794285;0.03002286;0.039250284;0.028396953;0.05818058;0.10191544;0.10359772;0.10451505;0.09419886;0.04356571;0.028190477;0.027291428;0.0005790464;-0.0112457145;0.0046476196;0.0024868562;0.05025981;0.11900191;0.13381335;0.1229303;0.10335849;0.043280765;0.026188185;0.021409523;0.005226666;0.018544763;0.033112384;0.03225905;0.021348573;0.0003809521;-0.004175238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0;0;0;0;0;-0.018133335;0.014217147;0.06747429;0.11201525;0.11287772;0.08636343;0.046662092;0.05379352;0.09077029;0.116160005;0.123038486;0.12839314;0.11299658;0.07437104;0.03419885;0.0020228538;0.0012038095;0.050007623;0.09126095;0.11021942;0.12406553;0.13729067;0.10956801;0.06892039;0.06595352;0.043021712;0.038467046;0.041965716;0.012053333;-0.0074514286;0.028114287;0.060464762;0.08486858;0.07972572;0.045036193;0.020982858;-0.0017600002;-0.0048;0;0;-0.008146287;-0.0021622863;0.03213258;0.09247545;0.107885726;0.10552915;0.09147429;0.06648229;0.07505829;0.10799087;0.117657915;0.12974858;0.1294583;0.11941334;0.112173714;0.10378513;0.15604419;0.22584686;0.258112;0.23453258;0.15210974;0.046500582;-0.00622628;-0.012964575;0;0;0;0;0;0;0;0;0;0
jaw_chew;0;0;0;0;0;0;0;-0.0010591809;0.009837978;0.028721932;0.04155615;0.040029403;0.02499317;0.012752474;0.017544871;0.02646839;0.025488727;0.016339377;0.0041180826;-0.00047933505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.00064409646;0.0064409645;0.012881929;0.01610241;0.012881929;0.0064409645;-0.00064409646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_front;0;0;0;0;0;0;-0.0027767716;0.025782945;0.07538314;0.109114714;0.10515471;0.067463145;0.013675359;0.02954113;0.089538954;0.15829743;0.19876103;0.20997547;0.1877484;0.1527377;0.150084;0.21327347;0.29572615;0.32031634;0.25614882;0.15321146;0.10727547;0.112078756;0.10845631;0.098029576;0.08556941;0.11978096;0.16341156;0.17211689;0.16456427;0.17032583;0.1469208;0.14176612;0.14786261;0.13503602;0.11171019;0.07294989;0.01846887;-0.0021469882;0;-0.003274873;0.030465765;0.088327095;0.1245301;0.15043472;0.15989815;0.13751985;0.10817004;0.10536942;0.08036892;0.106192425;0.1446116;0.1478798;0.108019754;0.07137544;0.018053785;-0.0020992775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_back;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0047233743;0.038486753;0.1746599;0.36212534;0.49542943;0.47758564;0.32013983;0.13750269;0.029459868;-0.0036737365;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_right;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_left;0;0;0;0;0;0;-0.0010019279;0.009298315;0.027248198;0.039467473;0.03806266;0.024438556;0.006207711;-0.00072096393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0010019279;0.009298315;0.027248198;0.039467473;0.03806266;0.024438556;0.006207711;-0.00072096393;0;0;0;0;-0.0011720967;0.010898749;0.031664103;0.045746755;0.043997355;0.028165305;0.0070500732;-0.00082221697;0;0;0;0;0;0;-0.00090968685;0.007411085;0.03364569;0.06980733;0.09554893;0.09214556;0.061798282;0.026559042;0.0056871353;-0.00070930144;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0;0;0;0;0;-0.0032432775;0.030109785;0.081605166;0.1878058;0.29744118;0.34769124;0.32823157;0.2848978;0.21715859;0.16626808;0.11458938;0.04287509;0.06964512;0.17146102;0.24638517;0.27324796;0.27460614;0.25460103;0.24253707;0.19877134;0.09659698;0.0134258345;0.06408441;0.24828887;0.44222873;0.54136944;0.5476136;0.48237035;0.4282184;0.38390905;0.29888248;0.17851385;0.09172166;0.041258644;0.01117335;-0.0012987952;0;0;0;0;-0.0021430126;0.019936139;0.057800107;0.083455026;0.07786094;0.07173248;0.08879864;0.13504653;0.15336362;0.15613005;0.14936888;0.13780032;0.14695312;0.19548576;0.26181856;0.32854697;0.31894702;0.21377802;0.09176546;0.019628884;-0.0024491576;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0;0;0;0;0;-0.004675664;0.04341688;0.12015714;0.24640006;0.35851946;0.39357212;0.35108742;0.29894558;0.23065123;0.17752677;0.12223521;0.04730584;0.059489284;0.13960937;0.20065089;0.22663234;0.2376443;0.232104;0.22584197;0.18466087;0.089733765;0.015117978;0.036587063;0.14525169;0.25794074;0.32378966;0.3519717;0.34752423;0.33911544;0.31693763;0.25092727;0.15579978;0.08454045;0.039854463;0.010653833;-0.0012394219;0;0;0;0;-0.002045046;0.019017704;0.05522849;0.079781294;0.074215025;0.07088083;0.09335517;0.14418076;0.16231233;0.17775871;0.19220316;0.1949774;0.199456;0.2233765;0.25638887;0.30810395;0.30019987;0.20121162;0.086410716;0.018515632;-0.002308888;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_spread;0;0;0;0;0;0;-0.0015585547;0.014472293;0.042303625;0.061228927;0.05900242;0.037850607;0.0095739765;-0.0011132531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0015585547;0.014472293;0.042303625;0.061228927;0.05900242;0.037850607;0.0095739765;-0.0011132531;0;0;0;0;-0.001836868;0.017082872;0.04959543;0.07163785;0.06888255;0.044084832;0.011021207;-0.0012858075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_spread;0;0;0;0;0;0;-0.0016624581;0.01543711;0.04512386;0.06531085;0.06293591;0.040373977;0.010212242;-0.00118747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0016624581;0.01543711;0.04512386;0.06531085;0.06293591;0.040373977;0.010212242;-0.00118747;0;0;0;0;-0.0019593255;0.018221729;0.05290179;0.0764137;0.07347472;0.047023814;0.0117559545;-0.001371528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
