;meta[fps=30]
;meta[frames=46]
;meta[profile=default]
jaw_open_a;0;0;0;0;0;0;0;-0.005988572;0.0011657135;0.025462857;0.05075429;0.05801143;0.04723429;0.018422859;-0.0014742861;-0.004228572;-0.007817144;0.011725715;0.02345143;0.027360002;0.02345143;0.011725715;-0.007817144;0;0;0;0;0;-0.0031085713;-0.0010057145;0.013074287;0.032621715;0.047021717;0.045494862;0.028041147;0.008649145;-0.0011611421;-0.0023954292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0;0;0;0;0;-0.010697143;0.0020571437;0.045577142;0.09065143;0.103542864;0.07931429;0.031039998;0.018176;0.035547428;0.08238629;0.10200687;0.106569156;0.0995703;0.07833601;0.04089143;0.020982858;-0.0017600002;-0.0048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_chew;0;0;0;0;0;0;0;0;0;0;-0.0027366942;0.02230005;0.10118517;0.2098018;0.28705713;0.276742;0.18553033;0.07970576;0.017080486;-0.0021298127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_front;0;0;0;0;0;-0.0021469884;0.018664485;0.068585545;0.13070865;0.19111417;0.21775828;0.18668064;0.12653276;0.06286024;0.013697786;-0.0016853859;-0.0031560727;0.031560726;0.06312145;0.07890182;0.06312145;0.031560726;-0.0031560727;0;0;0;0;0;-0.0013998363;0.011407664;0.051745277;0.107303604;0.1468397;0.1415867;0.09494269;0.040807094;0.008748263;-0.0010906702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_back;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0057952777;0.04721783;0.2143235;0.44437882;0.60807467;0.5862709;0.39309925;0.1689123;0.02520777;0.09788145;0.29926366;0.43312174;0.41734797;0.26645583;0.076358035;0.048702184;0.18078572;0.37419882;0.5899341;0.7603108;0.84168035;0.8219001;0.73628443;0.60689396;0.4510226;0.28996268;0.15249583;0.055428077;0.009017345;-0.001260361;0;0;0;0;0;0;0;0;0;0
jaw_up;0;0;0;0;0;0;0;0;0;0;0.014727532;0.040297415;0.08059483;0.13173461;0.21232943;0.28515393;0.35102123;0.3393657;0.27738357;0.19678874;0.12396424;0.072824486;0.036412243;0.010842353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_right;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.00086611096;0.007058025;0.032021612;0.06635656;0.09075239;0.087457165;0.058603875;0.025159523;0.0037516642;0.014565435;0.040848978;0.09447809;0.19837318;0.32231423;0.39588687;0.375917;0.27186012;0.15919149;0.109040186;0.11071173;0.12554713;0.12256731;0.10977882;0.09041007;0.067090206;0.043041155;0.02255915;0.008139736;0.0012950834;-0.00018275897;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0007881832;0.0064234696;0.029131608;0.060414024;0.082681306;0.07973119;0.053471774;0.022988679;0.0034314187;0.013292614;0.03769104;0.08341421;0.1679472;0.26689503;0.3239782;0.3070731;0.22397913;0.13490589;0.09720185;0.10117152;0.1144276;0.111767836;0.10023453;0.08266461;0.061398692;0.03939525;0.020639714;0.007448591;0.0012041677;-0.0001688433;0;0;0;0;0;0;0;0;0;0
