;meta[fps=30]
;meta[frames=64]
;meta[profile=ciri]
jaw_open_a;0;0;0;0;-0.005881905;0.0046476196;0.023908572;0.030003812;0.031253334;0.03442286;0.033002667;0.04284648;0.045494862;0.028041147;0.008649145;-0.0011611421;-0.0023954292;0;0;-0.013836191;0.01081905;0.015542854;0.1333638;0.20660873;0.21158402;0.15175465;0.086119615;-0.008141714;0.016576001;0.014070858;0.004352001;-0.00056685664;-0.0073782858;0.009257143;0.018514287;0.0216;0.018514287;0.009257143;-0.0061714286;0;0;0;-0.005881905;0.0046476196;0.023908572;0.033112384;0.03225905;-0.0066102855;0.022808382;0.10740028;0.15393308;0.15840785;0.123785146;0.044187434;0.013608052;0.06897198;0.12704654;0.14566748;0.13028136;0.083108574;0.0017066626;-0.01694476;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0;0;0;0;-0.018133335;0.014217147;0.059885718;0.115900956;0.15305144;0.13760002;0.06954666;0.030491432;-0.0027428567;-0.022716954;0.011900954;0.050761145;0.07416228;0.13076724;0.20641981;0.24737526;0.27563125;0.20271237;0.14873905;0.10029715;0.075123824;0.05857525;0.034422863;-0.037632007;0.011532193;0.04324115;0.09390629;0.14413562;0.16323657;0.11985829;0.080076195;0.02503315;-0.00333714;-0.006966859;0;-0.018681904;0.0146742845;0.06652953;0.10160762;0.14523429;0.16633905;0.14777905;0.13069713;0.08196648;0.02981523;0.03603429;0.07816595;0.12196539;0.13589634;0.11929044;0.089262165;0.08234755;0.08771919;0.07492354;0.07585871;0.08333193;0.076153904;0.06578591;0.045037717;0.01378743;-0.0018468556;-0.0038400008;0;0;0;0;0;0;0;0;0;0
jaw_chew;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.004729736;0.04391625;0.12840581;0.18586557;0.17912245;0.114919536;0.029081354;-0.0033811089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_front;0;0;0;0;0;-0.0021469884;0.018664485;0.06949086;0.12222089;0.16688113;0.18745784;0.17480779;0.13529843;0.13674885;0.16332854;0.1860895;0.1698096;0.10963953;0.027739085;-0.008153784;0.045769017;0.1337335;0.19353905;0.18647784;0.11961109;0.030234361;-0.0035162892;-0.0029389886;0.02729061;0.079772554;0.11546027;0.11126171;0.07137544;0.018053785;-0.0020992775;0;0;0;0;0;-0.0026718078;0.024809644;0.0725205;0.10229206;0.12595665;0.13740726;0.121376395;0.095963694;0.095352516;0.10315903;0.13652529;0.19740532;0.2689174;0.3384827;0.3910085;0.3855405;0.31537962;0.22163326;0.13321891;0.064138375;0.01707094;-0.0019847713;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_back;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.006085041;0.049578723;0.22503966;0.46659774;0.6384785;0.6155845;0.4127542;0.17735793;0.03804655;-0.0047424594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_up;0;0;0;0;0;0.0030810356;0.008362164;0.016724328;0.02728659;0.04401092;0.05897337;0.07261666;0.06997384;0.057211485;0.04048715;0.025524706;0.014962448;0.007481224;0.0022000938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_right;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.00062024116;0.0046226517;0.02654844;0.06251182;0.09570532;0.107375935;0.08777736;0.051657602;0.020929163;0.004516629;-0.0005645786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0029389884;0.027343089;0.07924772;0.114410624;0.109949656;0.07032579;0.017528966;-0.0045383624;0.023134463;0.06764338;0.09791327;0.094361454;0.06053976;0.015320483;-0.001781205;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0;0;0;0;-0.0032432775;0.030109785;0.08809543;0.12385684;0.15296468;0.2151592;0.30246124;0.38407603;0.3724277;0.24960247;0.107172884;0.022959737;-0.0028632875;0;0;0;0;0;0;-0.005523962;0.045008823;0.2042775;0.4235171;0.5793927;0.5584969;0.37435144;0.1607649;0.034439605;-0.0042949314;0;0;0;-0.0009094164;0.0074109253;0.033622693;0.06967439;0.09529001;0.09183003;0.058290787;0.056527283;0.09375765;0.12683566;0.12294025;0.076749526;0.039922744;0.055477116;0.083455026;0.080209896;0.051309843;0.012796846;-0.0033085886;0.01684723;0.049280003;0.07134097;0.06876193;0.04412193;0.01117335;-0.0012987952;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0;0;0;0;-0.004675664;0.04341688;0.12691087;0.180681;0.20149882;0.22469902;0.25916532;0.31193352;0.3039181;0.20372534;0.087501705;0.018747188;-0.0023378322;0;0;0;0;0;0;-0.0032284341;0.026295036;0.119483225;0.24776785;0.33900785;0.32680658;0.21907711;0.094069906;0.020158794;-0.002513726;0;0;0;-0.0008275923;0.006744643;0.030588187;0.06343472;0.08681537;0.083717756;0.0514697;0.06755499;0.13208683;0.18304153;0.17700727;0.11150678;0.047739636;0.05188873;0.079781294;0.07671984;0.0491056;0.012282523;-0.003173143;0.016164437;0.04720193;0.06829807;0.06579326;0.042192295;0.010653833;-0.0012394219;0;0;0;0;0;0;0;0;0;0;0;0;0;0
