;meta[fps=30]
;meta[frames=30]
;meta[profile=dand]
jaw_open_a;0;0;0;0;0;-0.019008001;-0.006687999;0.08053761;0.18357761;0.2935712;0.36273095;0.29359102;0.22222449;0.18935816;0.14149182;0.11661562;0.104028955;0.046448;0.07798707;0.16506517;0.23680457;0.2606065;0.20764802;0.10567546;0.04385373;0.031230481;0.042300947;0.05023086;0.030966861;0.009435431;-0.0012799992;-0.0026331437;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0;0;0;0;0;-0.004726858;-0.0016594288;0.019983543;0.03863955;0.078689374;0.12054903;0.10526766;0.09358279;0.090157256;0.059828565;0.04651124;0.035126854;-0.0021180979;0.0042300997;0.03713601;0.06035963;0.06171581;0.06196877;0.062819056;0.05599696;0.04575162;0.028521141;0.00060952205;-0.0060952376;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_front;0;0;0;0;0;-0.00079982466;0.006518256;0.029568322;0.05591974;0.13286422;0.23001114;0.2698602;0.26216772;0.21629283;0.16948874;0.17129385;0.20281164;0.20223197;0.2532573;0.34092504;0.42886618;0.4469004;0.3677147;0.21633056;0.08752414;0.018893503;-0.0023616878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_left;0;0;0;0;0;-0.0027115666;0.022094894;0.10025449;0.20489028;0.31135067;0.37224802;0.33150265;0.2554187;0.18886678;0.12965767;0.090671025;0.059898317;0.02010217;0.025661018;0.064669415;0.09901592;0.11108677;0.090793744;0.05341495;0.021610893;0.004665062;-0.0005831327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0;0;0;0;0;0;0;0;0;0;0;-0.0018146028;0.014461159;0.06631649;0.18163171;0.3187667;0.40255305;0.38546315;0.3348127;0.308016;0.33047795;0.34214136;0.2819674;0.1658712;0.067086495;0.014482686;-0.0018103358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0;0;0;0;0;0;0;0;0;0;0;-0.0017403858;0.014398074;0.059299283;0.15465683;0.26525113;0.33082193;0.31601956;0.2829882;0.27419484;0.30459237;0.3183997;0.26220474;0.1543418;0.06248616;0.013486695;-0.0016858367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_out;0;0;0;0;0;-0.0036369984;0.029634798;0.1344881;0.27883652;0.3789592;0.38838622;0.3406147;0.27644268;0.26117444;0.31573823;0.39539224;0.462681;0.48729798;0.4563063;0.4209032;0.41333437;0.38289696;0.32564473;0.24842824;0.22591563;0.25677478;0.2861671;0.25217783;0.17062609;0.073263206;0.015692422;-0.0019570997;0;0;0;0;0;0;0;0;0;0
corner_left_out;0;0;0;0;0;-0.0034312692;0.027957128;0.12689571;0.26307866;0.35736987;0.36788902;0.32315677;0.26271367;0.25843287;0.34116036;0.4591891;0.54591894;0.5583607;0.4879038;0.4106576;0.3786462;0.34542298;0.2939304;0.22817443;0.21124926;0.2404805;0.26639944;0.23300762;0.15784818;0.067830525;0.014534636;-0.0018123764;0;0;0;0;0;0;0;0;0;0
corner_right_in;0;0;0;0;0;0;0;0;0;0;0;-0.0010761447;0.009993303;0.02920434;0.04226651;0.040726513;0.02612434;0.0066053015;-0.0007681447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_left_in;0;0;0;0;0;0;0;0;0;0;0;-0.0011206749;0.010405207;0.03042892;0.044047713;0.042452056;0.027237594;0.006894747;-0.0008015422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
