;meta[language=ru]
; id      |key(hex)|key(str)| text
2116723700|00000000||Я следовал Пути.
2116723701|00000000||Это слишком долгая история.
2116723731|00000000||Это была бы слишком долгая история, чтобы ее рассказывать.
2116723707|00000000||Чем обязаны твоему визиту?
2116723708|00000000||Я здесь из-за Эсси Давен.
2116723709|00000000||Бедная девочка…
2116723710|00000000||Я знаю, что случилось с ней.
2116723711|00000000||Да, она этого не заслужила.
2116723712|00000000||Она была одаренной девочкой, которая знала, как сказать верные слова.
2116723713|00000000||И работали они хорошо, как в её балладах, так и в другие, скажем так… подходящие моменты.
2116723714|00000000||Я испытал это на себе.
2116723715|00000000||То, что с ней произошло, не было случайностью.
2116723716|00000000||Причиной этого стало древнее, злое, дьявольское существо.
2116723717|00000000||Это ужасно!
2116723718|00000000||Я не знал, как ответить Эсси взаимностью…
2116723719|00000000||...но я по крайней мере попробую отомстить за неё.
2116723720|00000000||Для этого мне нужна небесно-голубая жемчужина, как та, что я подарил Глазку.
2116723721|00000000||Это будет непросто.
2116723722|00000000||Они довольно редкие.
2116723723|00000000||Однако, используя ведьмачье чутьё…
2116723724|00000000||…вероятно, можно найти что-нибудь на побережье к северу отсюда.
2116723725|00000000||Но я думаю, что местные сирены не будут так же приветливы, как мои сёстры-русалки из Бремервоорда.
2116723726|00000000||Это не проблема.
2116723727|00000000||Спасибо за помощь.
2116723728|00000000||Спасибо тебе за твой визит, Геральт.
2116723729|00000000||Не сомневаюсь, что у тебя всё получится.
2116723730|00000000||До встречи.
2116737543|00000000||До встречи.
2116723706|00000000||Скажем так, я следовал Пути.
2116723702|00000000||Шъееназ
2116723703|00000000||Князь
2116723704|00000000||Геральт!
2116738315|00000000||Геральт!
2116723532|00000000||Геральт!
2116723705|00000000||Как ты поживал все эти годы?
2116737993|00000000||Да, знаю, и я так хочу тебя.
2116738341|00000000||Да, знаю, и я так хочу тебя.
2116737995|00000000||Знаю, но я совсем не настроен.
2116738333|00000000||Знаю, но я совсем не настроен.
2116738335|00000000||Жаль… Но я понимаю.
2116738337|00000000||Я люблю тебя, Геральт.
2116723545|00000000||Я люблю тебя, Геральт.
2116738339|00000000||Я люблю тебя, Йен.
2116738317|00000000||Цири заходила. Сказала, что тебе удалось победить этого демона и отомстить за свою подругу.
2116738319|00000000||Это было непросто, но мы смогли… благодаря тебе.
2116738321|00000000||Это напомнило мне о том, как важно быть с той, кого я люблю.
2116738323|00000000||Мне тоже.
2116738325|00000000||Я правда боюсь тебя потерять.
2116738327|00000000||Когда я снова увидела Цири, я обняла её так крепко, как только смогла.
2116738329|00000000||Это напомнило мне о том, что у нас только одна жизнь, и мы должны получить от неё по максимуму.
2116738331|00000000||А знаешь, что значит "по максимуму", когда я с тобой?
2116723501|00000000||Ты повлиял на судьбу Эсси из-за своих планов?
2116725155|00000000||Ты повлиял на судьбу Эсси из-за своих планов?
2116723500|00000000||Ты за это заплатишь!
2116723514|00000000||Ты за это заплатишь!
2116725153|00000000||Ты за это заплатишь!
2116723515|00000000||Это вызов?
2116723516|00000000||Я такое люблю.
2116723517|00000000||Но я отличаюсь от тех монстров, которых ты встречаешь в своих странствиях.
2116723518|00000000||Ты ничего не можешь сделать против меня.
2116723519|00000000||Я найду способ.
2116723520|00000000||Не утруждайся слишком сильно без необходимости… Мне ещё понадобятся твои услуги.
2116723521|00000000||Не переживай, мы ещё встретимся…
2116723522|00000000||Но только тогда, когда я этого захочу.
2116723523|00000000||Ты повлиял на судьбу Эсси из-за своих хитрых "планов"?
2116723524|00000000||Это просто побочный эффект.
2116732487|00000000||Уже давно у меня есть планы на тебя.
2116732489|00000000||Ведьмак с чародейкой открывает гораздо больше возможностей, чем с простым бардом…
2116723525|00000000||Я просто руководствуюсь своими интересами.
2116723502|00000000||Ты! Там!
2116723503|00000000||Какой неделикатный способ приветствовать знакомого.
2116723504|00000000||Ты имеешь какое-то отношение к тому, что случилось с Эсси?
2116723505|00000000||Я?
2116723506|00000000||Имел ли я когда-нибудь какое-либо отношение к чьей-то участи…
2116723507|00000000||Даже такое существо, как я, не может быть уверено в том, как развернутся события, если их предоставить самим себе.
2116723508|00000000||Эта бедная девушка могла бы определить другой путь для твоей судьбы.
2116723509|00000000||Это бы меня расстроило.
2116723510|00000000||А я не люблю расстраиваться.
2116723511|00000000||В такой ситуации…
2116723512|00000000||...может случиться так, что я протягиваю руку помощи судьбе…
2116723513|00000000||...чтобы убедиться, что итог не помешает моим планам…
2116738263|00000000||Могу только согласиться.
2116738267|00000000||На такое предложение от такой прекрасной женщины невозможно ответить отказом.
2116738265|00000000||Я не в настроении.
2116738269|00000000||Я уже жалею об этом, но я не в настроении.
2116738271|00000000||Я бы предпочла другой ответ, но я понимаю.
2116738273|00000000||Было время, когда я согласился бы с нескрываемым удовольствием.
2116738275|00000000||Но ты знаешь, кому отдано моё сердце.
2116738277|00000000||Я бы предпочла другой ответ, но это твоё дело.
2116738279|00000000||Ей повезло.
2116737904|00000000||Чем обязана твоему визиту?
2116737906|00000000||Я пришёл, чтобы поблагодарить тебя за помощь.
2116737908|00000000||Это мне нужно тебя благодарить.
2116737910|00000000||Я бесконечно благодарна тебе за то, что спас меня от этих безумных охотников за колдуньями.
2116738261|00000000||Но, возможно, мы можем отблагодарить друг друга…
2116732417|00000000||Подойди ближе. Хочу тебе показать кое-что.
2116723300|00000000||Да, я помню.
2116725193|00000000||Да, я помню.
2116723301|00000000||Прости, но я не помню.
2116725195|00000000||Прости, но я не помню.
2116723315|00000000||Прости, но я не помню. Видимо, это из-за моей амнезии.
2116723316|00000000||Мы встретились с Эсси несколько лет назад, когда мы с тобой были в Бремервоорде.
2116723317|00000000||У нее были искренние чувства к тебе, несмотря на то, что с твоей стороны всё было иначе.
2116723318|00000000||Мы прошли недолгий путь вместе, затем наши дороги разошлись.
2116723319|00000000||Она хранила небесно-голубую жемчужину, которую ты ей подарил, и носила её как талисман, на счастье.
2116723320|00000000||Я считал Куколку своей младшей сестрой.
2116723307|00000000||Я считал Куколку своей младшей сестрой.
2116723205|00000000||Я считал Куколку своей младшей сестрой.
2116723321|00000000||Она бежала за жизнью, в то время как смерть следовала за ней по пятам.
2116723308|00000000||Она бежала за жизнью, в то время как смерть следовала за ней по пятам.
2116723322|00000000||Она была в Вызиме во время эпидемии оспы. И болезнь забрала её.
2116723309|00000000||Она была в Вызиме во время эпидемии оспы. И болезнь забрала её.
2116723209|00000000||Она была в Вызиме во время эпидемии оспы. И болезнь забрала её.
2116723323|00000000||Я бы не смог заставить себя смотреть, как её тело сгорает на погребальном костре.
2116723310|00000000||Я бы не смог заставить себя смотреть, как её тело сгорает на погребальном костре.
2116723324|00000000||Поэтому я похоронил её за городом, в тихом месте.
2116723311|00000000||Поэтому я похоронил её за городом, в тихом месте.
2116723325|00000000||Это очень печально.
2116723312|00000000||Это очень печально.
2116723326|00000000||Я сожалею, что сказал ей, что моя небесно-голубая жемчужина принесёт ей удачу.
2116723327|00000000||Нет, Геральт.
2116723328|00000000||Она знала, что своими словами ты проявил немного жертвенности, чтобы сделать её счастливее.
2116723329|00000000||И всё же именно твоя небесно-голубая жемчужина придала ей мужества встретиться лицом к лицу со своим самым большим страхом. Потому что часть тебя всегда сопровождала её.
2116723330|00000000||Как и её лютня. Она держала её при себе до самого конца. И до сих пор носит в своём сердце.
2116723331|00000000||Иногда Эсси приходит ко мне живой в моих снах, как будто ничего не произошло.
2116723332|00000000||Спасибо, Геральт, что сопроводил меня.
2116723333|00000000||У меня не хватало смелости прийти сюда одному, и я знал, что и ты будешь проходить неподалёку. Вот поэтому я ждал тебя недалеко отсюда.
2116723334|00000000||В такие моменты вместе мы становимся сильнее, даже если грусть не становится легче.
2116723335|00000000||Мы скорбим в одиночестве, потому что мы одиноки в своих чувствах.
